id,topic_id,title,order,en,vi,zh,fr,de,hi,ind,it,ko,ms,pt,ru,es,th,tl,ar,pl,hr,nl,el,hu,sv,cs,ro,bg,da,tr,fi,sl,fa,bn,uk,am,km,si,zu,sw,lo,no
135,14,動物,4,Animal,Động Vật,动物,Animal,Tier,जानवर,Hewan,Animale,동물,Haiwan,Animal,животное,Animal,สัตว์,Hayop,حيوان,Zwierzę,Životinja,Dier,ζώο,Állat,Djur-,Zvíře,Animal,животно,Dyr,Hayvan,Eläin,Živali,حیوانات,পশু,тварина,እንስሳ,សត្វ,සත්ව,Isilwane,Mnyama,ສັດ,Dyr
136,14,植物,3,Plants,Thực Vật,植物,Les Plantes,Pflanzen,पौधों,Tanaman,Piante,식물,Tumbuhan,Plantas,растения,Plantas,พืช,Halaman,النباتات,Rośliny,Bilje,Planten,φυτά,Növények,Växter,Rostlin,Plante,растения,Planter,Bitkiler,Kasvit,Rastline,گیاهان,গাছপালা,рослини,ዕፅዋቶች,រុក្ខជាតិ,පැල,Izitshalo,Mimea,ພືດ,Planter
137,14,市街,7,Town,Thành Phố,城镇,Ville,"Stadt, Dorf",नगर,Kota,Cittadina,도시,Bandar,Cidade,городок,Pueblo,ตัวเมือง,Bayan,مدينة,Miasto,Grad,Stad-,πόλη,Város,Stad,Město,Oraș,град,By,Kasaba,Kaupunki,Mesto,شهر,শহর,місто,ከተማ,ទីក្រុង,නගරය,Idolobha,Mji,ເມືອງ,By
138,14,建築,8,Architecture,Kiến Trúc,建筑,Architecture,Die Architektur,आर्किटेक्चर,Arsitektur,Architettura,건축물,Seni Bina,Arquitetura,архитектура,Arquitectura,สถาปัตยกรรม,Arkitektura,هندسة معمارية,Architektura,Arhitektura,Architectuur,αρχιτεκτονική,Építészet,Arkitektur,Architektura,Arhitectură,архитектура,Arkitektur,Mimari,Arkkitehtuuri,Arhitektura,معماری,স্থাপত্য,архітектури,ሥነ ሕንፃ,ស្ថាបត្យកម្ម,නිර්මාණ ශිල්පය,Izakhiwo,Usanifu,architecture,Arkitektur
139,15,時間,2,Time,Thời Gian,时间,Temps,Zeit,पहर,Waktu,Tempo,시각,Masa,Tempo,время,Hora,เวลา,Oras,زمن,Czas,Vrijeme,Tijd,χρόνος,Idő,Tid,Čas,Timp,път,Tid,Zaman,Aika,Čas,زمان,সময়,час,ጊዜ,ពេលវេលា,වේලාව,Isikhathi,Wakati,ເວລາ,Tid
140,15,カレンダー,3,Calendar,Lịch,日历,Calendrier,Kalender,कैलेंडर,Kalender,Calendario,달력,Kalendar,Calendário,календарь,Calendario,ปฏิทิน,Kalendaryo,التقويم,Kalendarz,Kalendar,Kalender,Ημερολόγιο,Naptár,Kalender,Kalendář,Calendar,календар,Kalender,Takvim,Kalenteri,Koledar,تقویم,পাঁজি,календар,የቀን መቁጠሪያ,ប្រតិទិន,දින දර්ශනය,Ikhalenda,Kalenda,ປະຕິທິນ,Kalender
141,15,数字,1,Numbers,Số,数字,Nombres,Zahlen,संख्या,Angka,Numeri,번호,Nombor,Números,чисел,Números,หมายเลข,Numero,أعداد,Liczby,Brojevi,Getallen,αριθμούς,Szám,Tal,Čísla,Numerele,численост,Numre,Sayılar,Numerot,Številke,شماره,সংখ্যার,номери,ቁጥሮች,លេខ,අංක,Izinombolo,Nambari,ຕົວເລກ,Tall
142,15,計量,5,Weights And Measures,Đo Lường,度量衡,Poids Et Mesures,Gewichte Und Maße,भार और मापन,Berat Dan Ukuran,Pesi E Misure,도량형,Berat Dan Langkah,Pesos E Medidas,веса и меры,Pesos Y Medidas,น้ำหนักและมาตรการ,Bigat At Sukat,الأوزان والمقاييس,Wagi I Rozmiary,Težine I Mjere,Gewichten En Maten,μέτρα και σταθμά,Súlyok És Mérések,Vikter Och Åtgärder,Hmotnosti A Míry,Greutati Si Masuri,тежести и мерки,Vægte Og Foranstaltninger,Ağırlıklar Ve Ölçüler,Painot Ja Mitat,Uteži In Ukrepi,وزن ها و سنجش ها,ওজন ও পরিমাপ,ваги та заходи,ክብደቶችና መለኪያዎች,ទម្ងន់និងវិធានការ,බර සහ මිනුම්,Izisindo Nezinyathelo,Uzito Na Hatua,ຫນັກແລະມາດຕະການ,Mål Og Vekt
143,15,世界地図,4,World Map,Bản Đồ Thế Giới,世界地图,Carte Du Monde,Weltkarte,दुनिया का नक्शा,Peta Dunia,Mappa Del Mondo,세계지도,Peta Dunia,Mapa Mundial,карта мира,Mapa Del Mundo,แผนที่โลก,Mapa Ng Mundo,خريطة العالم,Mapa Świata,Karta Svijeta,Wereldkaart,ΠΑΓΚΟΣΜΙΟΣ ΧΑΡΤΗΣ,Világtérkép,Världskarta,Mapa Světa,Harta Lumii,карта на света,Verdenskort,Dünya Haritası,Maailmankartta,Zemljevid Sveta,نقشه جهان,বিশ্ব মানচিত্র,карта світу,የዓለም ካርታ,ផែនទី​ពិភពលោក,ලෝක සිතියම,Imephu Yezwe,Ramani Ya Dunia,ໂລກແຜນທີ່,Verdenskart
144,15,不変化詞と反義語,7,Particles And Antonyms,Bất Biến Và Trái Nghĩa,小品词和反义词,Particules Et Antonymes,Teilchen Und Antonyme,कण और विलोम,Partikel Dan Antonim,Particelle E Contrari,입자와 반의어,Zarah Dan Antonim,Partículas E Antônimos,частицы и антонимы,Partículas Y Antónimos,อนุภาคและคำตรงข้าม,Mga Particle At Mga Antonym,الجسيمات والمتضادات,Cząstki I Antonimy,Čestice I Antonimi,Deeltjes En Antoniemen,σωματίδια και αντωνύμια,Részecskék És Antonimok,Partiklar Och Antonymer,Částic A Antonymů,Particule Și Antonime,частици и антоними,Partikler Og Antonymer,Parçacıklar Ve Zıt,Hiukkaset Ja Antonymit,Delci In Antonimi,ذرات و آنتونیم ها,কণা এবং অক্ষর,частинки і антоніми,ቅንጣቶች እና ቃላቶች,ភាគល្អិតនិងកោសិកា,අංශු හා ඇන්ටෝනියම්,Izinhlayiya Kanye Nokuphikisana,Chembe Na Vyema,particles and antonyms,Partikler Og Antonymer
145,15,便利な表現,6,Useful Phrases,Cụm Từ Hữu Ích,有用的短语,Phrases Utiles,Nützliche Ausdrücke,उपयोगी वाक्यांश,Frase Yang Berguna,Frasi Utili,유용한 구절,Peribahasa Yang Berguna,Frases Úteis,полезные фразы,Frases Útiles,วลีที่มีประโยชน์,Kapaki-Pakinabang Na Parirala,عبارات مفيدة,Przydatne Sformułowania,Korisne Fraze,Handige Zinnen,χρήσιμες φράσεις,Hasznos Kifejezések,Användbara Fraser,Užitečné Fráze,Expresii Utile,полезни фрази,Brugbare Sætninger,Kullanışlı Ifadeler,Käytännöllisiä Fraaseja,Uporabne Fraze,عبارات مفید,দরকারী বাক্যাংশ,корисні фрази,ጠቃሚ ሐረጎች,ឃ្លាដែលមានប្រយោជន៍,ප්රයෝජනවත් වාක්ය ඛණ්ඩ,Imishwana Ewusizo,Misemo Muhimu,phrases ທີ່ເປັນປະໂຫຍດ,Nyttige Setninger
149,16,日本の料理,1,Japanese Cuisine,Ẩm Thực Nhật Bản,日本料理,Cuisine Japonaise,Japanische Küche,जापानी खाना,Hidangan Jepang,Cucina Giapponese,일본 요리,Masakan Jepun,Cozinha Japonesa,Японская кухня,La Cocina Japonesa,อาหารญี่ปุ่น,Lutong Hapon,المطبخ الياباني,Kuchnia Japońska,Japanska Kuhinja,Japanse Keuken,ιαπωνική κουζίνα,Japán Konyha,Japansk Kokkonst,Japonská Kuchyně,Bucataria Japoneza,Японска кухня,Japansk Køkken,Japon Mutfağı,Japanilainen Keittiö,Japonska Kuhinja,غذای ژاپنی,জাপানি রান্না,Страви японської кухні,የጃፓን ምግብ,ម្ហូបជប៉ុន,ජපන් කෑම,Cuisine Japanese,Kijapani Vyakula,ຮ້ານອາຫານຍີ່ປຸ່ນ,Japansk Mat
158,16,日本の47都道府県,2,47 Prefectures Of Japan,Các Tỉnh Thành Nhật Bản,日本47个都道府县,47 Préfectures Du Japon,47 Präfekturen Von Japan,जपान के ४ j प्रान्त,47 Prefektur Jepang,47 Prefetture Del Giappone,일본의 47 개 도도부 현,47 Prefectures Of Japan,47 Prefeituras Do Japão,47 префектур Японии,47 Prefecturas De Japon,47 จังหวัดของญี่ปุ่น,47 Prefecture Ng Japan,47 محافظات اليابان,47 Prefektur Japonii,47 Prefektura Japana,47 Prefecturen Van Japan,47 νομούς της Ιαπωνίας,47 Japán Prefektúra,47 Prefectures Of Japan,47 Prefektur Japonska,47 Prefecturi Ale Japoniei,47 префектури на Япония,47 Præfekturer I Japan,Japonya'nın 47 Eyaleti,47 Japanin Prefektuuria,47 Prefektur Japonske,47 حومه ژاپن,জাপান 47 prefectures,47 префектур Японії,47 የጃፓን አስተዳደሮች,47 នៃប្រទេសជប៉ុន,ජපානයේ ප්රාන්ත ආක්රමණ 47 යි,47 Izifunda Zasejapane,47 Wilaya Za Japani,47 ແຂວງຂອງຍີ່ປຸ່ນ,47 Prefectures Of Japan
154,16,お祭り,3,Japanese Festival,Lễ Hội,日本节日,Festival Japonais,Japanisches Festival,जापानी त्योहार,Festival Jepang,Festival Giapponese,일본 축제,Perayaan Jepun,Festival Japonês,Японский фестиваль,El Festival De Japon,เทศกาลญี่ปุ่น,Japanese Festival,مهرجان ياباني,Japoński Festiwal,Japanski Festival,Japans Festival,Ιαπωνικό φεστιβάλ,Japán Fesztivál,Japansk Festival,Japonský Festival,Festivalul Japonez,Японски фестивал,Japansk Festival,Japon Festivali,Japanilainen Festivaali,Japonski Festival,جشنواره ژاپن,জাপানি উত্সব,Японський фестиваль,የጃፓን በዓል,ពិធីបុណ្យជប៉ុន,ජපන් උත්සවය,Umkhosi Wasejapane,Tamasha La Kijapani,ງານບຸນຍີ່ປຸ່ນ,Japansk Festival
156,16,日本のお花,4,Flowers,Các Loài Hoa Ở Nhật Bản,日本花,Fleurs,Blumen,पुष्प,Bunga-Bunga,Fiori,꽃들,Bunga,Flores,Цветы,Las Flores,ดอกไม้,Bulaklak,زهور,Kwiaty,Cvijeće,Bloemen,Λουλούδια,Virágok,Blommor,Květiny,Flori,Цветя,Blomster,Çiçekler,Kukat,Cvetje,گل ها,ফুল,Квіти,አበቦች,ផ្កា,මල්,Izimbali,Maua,ດອກ​ໄມ້,Blomster
160,16,日本の伝統的なスポーツ,0,Traditional Sport,Các Thể Thao Truyền Thông Của Nhật Bản,日本传统体育,Sport Traditionnel,Traditioneller Sport,पारंपरिक खेल,Olahraga Tradisional,Sport Tradizionale,전통 스포츠,Sukan Tradisional,Esporte Tradicional,Традиционный спорт,Deporte Tradicional,กีฬาแบบดั้งเดิม,Tradisyunal Na Palakasan,الرياضة التقليدية,Tradycyjny Sport,Tradicionalni Sport,Traditionele Sport,Παραδοσιακό αθλητισμό,Hagyományos Sport,Traditionell Sport,Tradiční Sport,Sport Tradițional,Традиционен спорт,Traditionel Sport,Geleneksel Spor,Perinteinen Urheilu,Tradicionalni Šport,ورزش سنتی,ঐতিহ্যবাহী খেলা,Традиційний спорт,ባህላዊ ስፖርት,កីឡាប្រពៃណី,සාම්ප්රදායික ක්රීඩා,Ezemidlalo Zendabuko,Mchezo Wa Jadi,ກິລາແບບດັ້ງເດີມ,Tradisjonell Sport
155,16,日本の季節,0,Season,Các Mùa Ở Nhật Bản,日本季节,Saison,Jahreszeit,ऋतु,Musim,Stagione,시즌,Musim,Temporada,Время года,Temporada,ฤดู,Season,الموسم,Pora Roku,Sezona,Seizoen,Εποχή,Évszak,Säsong,Sezóna,Sezon,сезон,Sæson,Sezon,Kausi,Sezona,فصل,ঋতু,Сезон,ወቅታዊ,រដូវ,කන්නය,Isizini,Msimu,ລະດູການ,Årstid
157,16,日本のお正月,0,Japanese New Year Eve,Ngày Tết Ở Nhật Bản,日本新年,Réveillon Du Nouvel An Japonais,Japanisches Neujahr,जापानी नव वर्ष की पूर्व संध्या,Malam Tahun Baru Jepang,Capodanno Giapponese,일본 신년 이브,Malam Tahun Baru Jepun,Véspera De Ano Novo Japonês,Канун японского нового года,Nochevieja Japonesa,วันสิ้นปีญี่ปุ่น,Japanese New Year Eve,ليلة رأس السنة اليابانية,Japoński Sylwester,Japanska Nova Godina,Japanse Oudejaarsavond,Ιαπωνική Πρωτοχρονιά,Japán Újév,Japansk Nyårsafton,Japonský Silvestr,Anul Nou De Anul Nou,Японска Нова година,Japansk Nytårsaften,Japon Yeni Yıl Arifesi,Japanin Uudenvuodenaattona,Japonsko Novo Leto,شب سال نو ژاپنی,জাপানি নতুন বছর ইভ,Японський Новий рік,የጃፓን አዲስ አመት ሔዋን,បុណ្យចូលឆ្នាំជប៉ុនរបស់ជប៉ុន,ජපන් අලුත් අවුරුද්ද,U-Eva New Year Eve,Mwaka Wa Mwaka Mpya Wa Kijapani,ຍີ່ປຸ່ນປີໃຫມ່,Japansk Nyttårsaften
153,2,男性服,2,Clothing - Men,Quần Áo Nam,男士服装,Vêtements - Hommes,Kleidung - Männer,कपड़े - पुरुष,Pakaian - Pria,Abbigliamento - Uomini,의류 - 남성용,Pakaian - Lelaki,Roupas - Homens,одежда - мужчины,Ropa - Hombre,เสื้อผ้า - ผู้ชาย,Damit - Mga Lalaki,ملابس - رجال,Odzież - Mężczyźni,Odjeća - Muškarci,Kleding - Heren,ρούχα - Άνδρες,Ruházat - Férfiak,Kläder - Män,Oblečení - Muži,Imbracaminte - Barbati,облекло - мъже,Tøj - Mænd,Giyim - Erkek,Vaatteet - Miehet,Oblačila - Moški,لباس - مردان,পোশাক - পুরুষদের,одяг - чоловіки,ልብስ - ወንዶች,សម្លៀកបំពាក់ - បុរស,ඇඳුම් - පිරිමි,Izingubo - Amadoda,Nguo - Wanaume,ເສື້ອຜ້າ - ຜູ້ຊາຍ,Klær - Menn
151,2,子供服,3,Clothing - Baby,Quần Áo Trẻ Em,儿童服装,Vêtements - Bébé,Kleidung - Baby,वस्त्र - बच्चा,Pakaian - Bayi,Abbigliamento - Baby,의류 - 아기,Pakaian - Bayi,Roupas - Bebê,одежда - Детская,Ropa - Bebé,เสื้อผ้า - เด็ก,Damit - Sanggol,ملابس - بيبي,Odzież - Baby,Odjeća - Beba,Kleding - Baby,ρούχα - Μωρό,Ruházat - Baba,Kläder - Baby,Oblečení - Baby,Îmbrăcăminte - Baby,облекло - Бебе,Tøj - Baby,Giyim - Bebek,Vaatteet - Vauva,Oblačila - Baby,لباس - عزیزم,পোশাক - শিশুর,одяг - Baby,ልብስ - ህፃን,សម្លៀកបំពាក់ - ទារក,ඇඳුම් - ළදරු,Izingubo - Baby,Mavazi - Mtoto,ເຄື່ອງນຸ່ງຫົ່ມ - ເດັກນ້ອຍ,Klær - Baby
152,16,シーフード、果物,0,Seafood And Fruit,Đồ Hải Sản Và Trái Cây,海鲜和水果,Fruits De Mer Et Fruits,Meeresfrüchte Und Obst,समुद्री भोजन और फल,Makanan Laut Dan Buah,Frutti Di Mare E Frutta,해산물과 과일,Makanan Laut Dan Buah-Buahan,Frutos Do Mar E Frutas,Морепродукты и фрукты,Marisco Y Fruta,อาหารทะเลและผลไม้,Seafood At Prutas,المأكولات البحرية والفواكه,Owoce Morza I Owoce,Plodovi Mora I Voća,Zeevruchten En Fruit,Θαλασσινά και φρούτα,Tenger Gyümölcsei És Gyümölcs,Fisk Och Skaldjur,Mořské Plody A Ovoce,Fructe De Mare Și Fructe,Морска храна и плодове,Fisk Og Frugt,Deniz Ürünleri Ve Meyve,Meren Antimet Ja Hedelmät,Morski Sadeži In Sadje,غذاهای دریایی و میوه,সীফুড এবং ফল,Морепродукти і фрукти,የባህር ምግብ እና ፍራፍሬ,អាហារសមុទ្រនិងផ្លែឈើ,මුහුදු ආහාර සහ පළතුරු,Izilwane Zasolwandle Nezithelo,Chakula Cha Baharini Na Matunda,ອາຫານທະເລແລະຫມາກໄມ້,Sjømat Og Frukt
159,16,医薬,0,Medicine,Nhà Thuốc,医学,Médicament,Medizin,दवा,Obat,Medicina,의학,Ubat,Remédio,Лекарственное средство,Medicina,ยา,Gamot,دواء,Lekarstwo,Lijek,Geneeskunde,Φάρμακο,Gyógyszer,Medicin,Medicína,Medicament,медицина,Medicin,Tıp,Lääketiede,Medicina,دارو,ঔষধ,Медицина,ሕክምና,ឱសថ,වෛද්ය විද්යාව,Imithi,Dawa,ຢາ,Medisin
150,16,観光地,0,Attraction,Địa Điểm Tham Quan,引力,Attraction,Attraktion,आकर्षण,Daya Tarik,Attrazione,끌어 당김,Tarikan,Atração,Привлечение,Atracción,เสน่ห์,Pag-Akit,جاذبية,Atrakcja,Privlačnost,Aantrekkelijkheid,Αξιοθεατο,Vonzerő,Attraktion,Atrakce,Atracţie,Атракция,Type,Cazibe,Vetovoima,Privlačnost,جاذبه,আকর্ষণ,Атракціон,መስህብ,ការទាក់ទាញ,ආකර්ෂණය,Ukuheha,Mkahawa,ການລົງທຶນ,Tiltrekning
147,16,交通、旅行,0,Transportation/ Travel In Japan,"Du Lịch, Giao Thông",在日本的交通/旅行,Transport / Voyage Au Japon,Transport / Reise In Japan,जापान में परिवहन / यात्रा,Transportasi / Perjalanan Di Jepang,Trasporto / Viaggio In Giappone,일본의 교통 / 여행,Pengangkutan / Perjalanan Di Jepun,Transporte / Viagem No Japão,Транспорт / путешествия по Японии,Transporte / Viajes En Japón,การเดินทาง / ท่องเที่ยวญี่ปุ่น,Transportasyon / Paglalakbay Sa Japan,النقل / السفر في اليابان,Transport / Podróże Po Japonii,Prijevoz / Putovanja U Japan,Vervoer / Reizen In Japan,Μεταφορές / ταξίδια στην Ιαπωνία,Szállítás / Utazás Japánban,Transport / Resa I Japan,Doprava / Cestování V Japonsku,Transport / Călătorie În Japonia,Транспорт / пътуване в Япония,Transport / Rejse I Japan,Japonya'da Ulaşım / Seyahat,Kuljetus / Matka Japanissa,Prevoz / Potovanje Na Japonsko,حمل و نقل / مسافرت در ژاپن,জাপান মধ্যে পরিবহন / ভ্রমণ,Транспорт / подорожі по Японії,ጃፓን ውስጥ መጓጓዣ / ጉዞ,ការដឹកជញ្ជូន / ការធ្វើដំណើរនៅក្នុងប្រទេសជប៉ុន,ජපානයේ ප්රවාහන / සංචාර,Ukuthutha / Ukuhamba Ejapane,Usafiri / Usafiri Huko Japan,ການຂົນສົ່ງ / ການເດີນທາງໃນປະເທດຍີ່ປຸ່ນ,Transport / Reise I Japan
146,16,便利な表現,0,Useful Phrases In Japan,Cụm Từ Hữu Ích,在日本有用的短语,Phrases Utiles Au Japon,Nützliche Sätze In Japan,जापान में उपयोगी वाक्यांश,Frasa Yang Berguna Di Jepang,Frasi Utili In Giappone,일본의 유용한 문구,Ungkapan Berguna Di Jepun,Frases Úteis No Japão,Полезные фразы в Японии,Frases Útiles En Japón,วลีที่มีประโยชน์ในประเทศญี่ปุ่น,Mga Kapaki-Pakinabang Na Parirala Sa Japan,عبارات مفيدة في اليابان,Przydatne Zwroty W Japonii,Korisni Izrazi U Japanu,Handige Frases In Japan,Χρήσιμες φράσεις στην Ιαπωνία,Hasznos Kifejezések Japánban,Användbara Fraser I Japan,Užitečné Fráze V Japonsku,Explicații Utile În Japonia,Полезни фрази в Япония,Nyttige Sætninger I Japan,Japonya'da Yararlı Ifadeler,Hyödyllisiä Lauseita Japanissa,Koristne Fraze Na Japonskem,عبارات مفید در ژاپن,জাপান মধ্যে দরকারী বাক্যাংশ,Корисні фрази в Японії,በጃፓን ውስጥ ጠቃሚ ሐረጎች,ឃ្លាដែលមានប្រយោជន៍នៅប្រទេសជប៉ុន,ජපානයේ ප්රයෝජනවත් වාක්ය ඇත,Imishwana Ewusizo Ejapane,Maneno Muhimu Katika Japani,ປະໂຫຍກທີ່ເປັນປະໂຫຍດໃນປະເທດຍີ່ປຸ່ນ,Nyttige Fraser I Japan
148,16,外食,0,Eating Out,Ăn Ngoài,外出就餐,Manger À L'extérieur,Essen Gehen,बाहर खाना,Makan Di Luar,Mangiare Fuori,외식,Makan Luar,Comendo Fora,Еда вне,Comiendo Fuera,รับประทานอาหารนอกบ้าน,Kumakain,ياكل بالخارج,Jedzenie Poza Domem,Jesti Vani,Uit Eten,Τρώγοντας έξω,Elmenni Enni,Äta Ute,Jíst Ven,Mâncat În Oraș,Ям навън,Spise Ude,Dışarıda Yemek,Syödä Ulkona,Jesti Zunaj,خوردن,খাওয়া,Харчування,ከቤት ውጭ መብላት,បរិភោគអាហារ,කෑම කන්න,Ukudla Ngaphandle,Kula Nje,ກິນອາຫານອອກ,Spise Ute
