id,title,order,icon,en,vi,zh,fr,de,hi,ind,it,ko,ms,pt,ru,es,th,tl,ar,pl,hr,nl,el,hu,sv,cs,ro,bg,da,tr,fi,sl,fa,bn,uk,am,km,si,zu,no,sw,lo
1,人,5,Assets/Resources/Images/topic_1.png,People,Con Người,人,Personnes,Menschen,लोग,Orang-Orang,Persone,사람들,Orang,Pessoas,люди,La Gente,คน,Mga Tao,اشخاص,Ludzie,Narod,Mensen,Ανθρωποι,Emberek,Människor,Lidé,Oameni,хора,Mennesker,İnsanlar,Ihmiset,Ljudje,مردم,সম্প্রদায়,Люди,ሰዎች,មនុស្ស,මිනිසුන්,Abantu,Mennesker,Watu,ປະຊາຊົນ
2,外観,12,Assets/Resources/Images/topic_2.png,Appearance,Ngoại Hình,外貌,Apparence,Aussehen,दिखावट,Penampilan,Aspetto,외관,Rupa,Aparência,Внешность,Apariencia,การปรากฏ,Hitsura,مظهر خارجي,Wygląd,Izgled,Verschijning,Εμφάνιση,Megjelenés,Utseende,Vzhled,Aspect,Външен вид,Udseende,Görünüm,Ulkomuoto,Videz,ظاهر,চেহারা,Зовнішній вигляд,መልክ,រូបរាង,පෙනුම,Ukubukeka,Utseende,Mwonekano,ຮູບລັກສະນະ
3,健康,14,Assets/Resources/Images/topic_3.png,Health,Sức Khỏe,健康,Santé,Gesundheit,स्वास्थ्य,Kesehatan,Salute,건강,Kesihatan,Saúde,Здоровье,La Salud,สุขภาพ,Kalusugan,الصحة,Zdrowie,Zdravlje,Gezondheid,Υγεία,Egészség,Hälsa,Zdraví,Sănătate,Здраве,Sundhed,Sağlık,Terveys,Zdravje,سلامتی,স্বাস্থ্য,Здоров'я,ጤና,សុខភាព,සෞඛ්යය,Ezempilo,Helse,Afya,ສຸ​ຂະ​ພາບ
4,家庭,10,Assets/Resources/Images/topic_4.png,Home,Nhà Cửa,家庭,Accueil,Zuhause,होम,Rumah,Casa,집,Rumah,Casa,Главная,La Casa,บ้าน,Bahay,الصفحة الرئيسية,Dom,Dom,Huis,Σπίτι,Itthon,Hem,Domov,Acasă,У дома,Hjem,Ev,Koti,Domov,خانه,বাড়ি,Головна,ቤት,ផ្ទះ,නිවස,Ikhaya,Hjem,Nyumbani,ຫນ້າທໍາອິດ
5,職務,11,Assets/Resources/Images/topic_5.png,Services,Dịch Vụ,服务,Prestations De Service,Dienstleistungen,सेवाएं,Jasa,Servizi,서비스,Perkhidmatan,Serviços,Сервисы,Los Servicios,บริการ,Mga Serbisyo,خدمات,Usługi,Usluge,Diensten,Υπηρεσίες,Szolgáltatások,Tjänster,Služby,Servicii,Услуги,Services,Hizmetler,Palvelut,Storitve,خدمات,সার্ভিস,Послуги,አገልግሎቶች,សេវាកម្ម,සේවා,Izinsizakalo,Tjenester,Huduma,ບໍລິການ
6,買い物,3,Assets/Resources/Images/topic_6.png,Shopping,Mua Sắm,购物,Achats,Einkaufen,खरीदारी,Perbelanjaan,Shopping,쇼핑,Membeli-Belah,Compras,Покупка,Compras,ช้อปปิ้ง,Pamimili,التسوق,Zakupy,Kupovina,Boodschappen Doen,Ψώνια,Bevásárlás,Handla,Nakupování,Cumpărături,Пазаруване,Handle ind,Alışveriş Yapmak,Ostokset,Nakupovanje,خريد كردن,কেনাকাটা,Покупки,ግብይት,ដើរផ្សារ,සාප්පු සවාරි,Ukuthenga,Shopping,Ununuzi,ຊ້ອບປິ້ງ
7,食べ物,4,Assets/Resources/Images/topic_7.png,Food,Thức Ăn,食物,Aliments,Essen,भोजन,Makanan,Cibo,식품,Makanan,Comida,питание,Comida,อาหาร,Pagkain,طعام,Jedzenie,Hrana,Voedsel,Φαγητό,Élelmiszer,Mat,Jídlo,Alimente,Храна,Mad,Gıda,Ruoka,Hrana,غذا,খাদ্য,Їжа,ምግብ,អាហារ,ආහාර,Ukudla,Mat,Chakula,ອາຫານ
8,外食,2,Assets/Resources/Images/topic_8.png,Eating out,Ăn Ngoài,外食,Manger À L'extérieur,Essen Gehen,बाहर खाना,Makan Di Luar,Mangiare Fuori,외식,Makan Luar,Comendo Fora,Еда вне,Comiendo Fuera,รับประทานอาหารนอกบ้าน,Kumakain,ياكل بالخارج,Jedzenie Poza Domem,Jesti Vani,Uit Eten,Τρώγοντας έξω,Elmenni Enni,Äta Ute,Jíst Ven,Mâncat În Oraș,Ям навън,Spise ude,Dışarıda Yemek,Syödä Ulkona,Jesti zunaj,خوردن,খাওয়া,Харчування,ከቤት ውጭ መብላት,បរិភោគអាហារ,කෑම කන්න,Ukudla Ngaphandle,Spise Ute,Kula nje,ກິນອາຫານອອກ
9,学習,9,Assets/Resources/Images/topic_9.png,Study,Học Hành,学习,Étude,Studie,अध्ययन,Belajar,Studia,연구,Kajian,Estude,Изучение,Estudiar,ศึกษา,Pag-Aralan,دراسة,Badanie,Studija,Studie,Μελέτη,Tanulmány,Studie,Studie,Studiu,проучване,Undersøgelse,Ders Çalışma,Tutkimus,Študija,مطالعه,অধ্যয়ন,Вивчення,ጥናት,សិក្សា,අධ්යයනය,Isifundo,Studere,Funzo,ການສຶກສາ
10,仕事,8,Assets/Resources/Images/topic_10.png,Work,Việc Làm,工作,Travail,Arbeit,काम,Kerja,Lavoro,작업,Kerja,Trabalhos,Работа,Trabajo,งาน,Magtrabaho,عمل,Praca,Raditi,Werk,Εργασία,Munka,Arbete,Práce,Muncă,работа,Arbejde,İş,Työ,Delo,کار کن,কাজ,Робота,ሥራ,ការងារ,කාර්යය,Sebenzisa,Arbeid,Kazi,ເຮັດວຽກ
11,交通,13,Assets/Resources/Images/topic_11.png,Transportation,Giao Thông,交通,Transport,Transport,परिवहन,Angkutan,Trasporti,교통,Pengangkutan,Transporte,Транспорт,Transporte,การขนส่ง,Transportasyon,وسائل النقل,Transport,Transport,Vervoer,Μεταφορά,Szállítás,Transport,Přeprava,Transport,транспорт,Transportmidler,Taşımacılık,Kuljetus,Prevoz,حمل و نقل,পরিবহন,Перевезення,መጓጓዣ,ការដឹកជញ្ជូន,ප්රවාහනය,Ukuthutha,Transport,Usafiri,ການຂົນສົ່ງ
12,スポーツ,7,Assets/Resources/Images/topic_12.png,Sports,Thể Thao,体育运动的,Des Sports,Sport,खेल,Olah Raga,Gli Sport,스포츠,Sukan,Esportes,Спортивный,Deportes,กีฬา,Laro,رياضات,Sport,Sportski,Sport,Αθλητισμός,Sport,Sporter,Sportovní,Sport,спортен,Sport,Spor Dalları,Urheilu,Šport,ورزش ها,স্পোর্টস,Спорт,ስፖርቶች,កីឡា,ක්රීඩා,Ezemidlalo,Sport,Michezo,ກິລາ
13,娯楽,6,Assets/Resources/Images/topic_13.png,Leisure,Giải Trí,娱乐,Loisir,Freizeit,फुर्सत,Kenyamanan,Tempo Libero,여가,Leisure,Lazer,Досуг,El Ocio,สันทนาการ,Leisure,راحة,Wolny Czas,Slobodno Vrijeme,Vrije Tijd,Ελεύθερος χρόνος,Szabadidő,Fritid,Volný Čas,Timp Liber,свободно време,Fritid,Boş,Vapaa,Prosti čas,اوقات فراغت,অবসর,Дозвілля,የመዝናኛ,ការកំសាន្ត,නිවාඩු ගත කිරීම,Ukuzilibazisa,Fritid,Burudani,Leisure
14,環境,15,Assets/Resources/Images/topic_14.png,Environment,Môi Trường,环境,Environnement,Umgebung,वातावरण,Lingkungan Hidup,Ambiente,환경,Alam Sekitar,Meio Ambiente,Среда,Ambiente,สิ่งแวดล้อม,Kapaligiran,بيئة,Środowisko,Okolina,Milieu,περιβάλλον,Környezet,Miljö,Životní Prostředí,Mediu Inconjurator,Заобикаляща среда,Miljø,Çevre,Ympäristö,Okolje,محیط,পরিবেশ,Навколишнє середовище,አካባቢ,បរិស្ថាន,පරිසරය,Imvelo,Miljø,Mazingira,ສິ່ງແວດລ້ອມ
15,参考資料,16,Assets/Resources/Images/topic_15.png,Reference,Tài Liệu Tham Khảo,参考文献,Référence,Referenz,संदर्भ,Referensi,Riferimento,참고,Rujukan,Referência,Ссылка,Referencia,การอ้างอิง,Sanggunian,مرجع,Odniesienie,Upućivanje,Referentie,Αναφορά,Referencia,Referens,Odkaz,Referinţă,препратка,Reference,Referans,Viite,Referenca,ارجاع,উল্লেখ,Довідка,ማጣቀሻ,សេចក្តីយោង,යොමුව,Izikhombo,Henvisning,Kumbukumbu,ອ້າງອິງ
16,日本の特徴,1,Assets/Resources/Images/topic_16.png,About Japan,Về Nhật Bản,关于日本,À Propos Du Japon,Über Japan,जापान के बारे में,Tentang Jepang,A Proposito Del Giappone,일본에 대해서,Mengenai Jepun,Sobre O Japão,О Японии,Sobre Japon,เกี่ยวกับประเทศญี่ปุ่น,Tungkol Sa Japan,عن اليابان,O Japonii,O Japanu,Over Japan,Σχετικά με την Ιαπωνία,Japánról,Om Japan,O Japonsku,Despre Japonia,За Япония,Om Japan,Japonya Hakkında,Tietoja Japanista,V zvezi z Japonsko,درباره ژاپن,জাপান সম্পর্কে,Про Японію,ስለ ጃፓን,អំពីប្រទេសជប៉ុន,ජපානය ගැන,Mayelana Nejapane,Om Japan,Kuhusu Japani,ກ່ຽວກັບຍີ່ປຸ່ນ
